Name,TVT-split,year,Longitude,Latitude,North angle,Owner
28_1,Trainning,2015,135.5641111,34.73852778,46.23730469,Google Street View
242_2,Trainning,2015,135.5564462,34.7323718,228.5471649,Google Street View
243_2,Trainning,2015,135.5565408,34.73245064,227.9038849,Google Street View
252_1,Trainning,2015,135.5573657,34.73312152,49.15161514,Google Street View
276_1,Trainning,2015,135.5597544,34.73491306,227.1446075,Google Street View
295_2,Trainning,2015,135.5463333,34.71547222,65.73036957,Google Street View
348_1,Trainning,2015,135.5482151,34.72108625,21.44577789,Google Street View
349_1,Trainning,2015,135.5482459,34.72119407,20.17288399,Google Street View
349_2,Trainning,2015,135.5482459,34.72119407,20.17288399,Google Street View
357_2,Trainning,2015,135.5484914,34.72194646,15.03326702,Google Street View
57170_2,Trainning,2015,135.5653232,34.73943446,46.65991974,Google Street View
373_2,Trainning,2015,135.5490611,34.7236555,13.77420712,Google Street View
374_2,Trainning,2015,135.5490967,34.72376231,15.18545532,Google Street View
378_1,Trainning,2015,135.5492179,34.724126,193.5110931,Google Street View
586_2,Trainning,2015,135.5268274,34.69734075,76.64705658,Google Street View
609_1,Trainning,2015,135.5298452,34.69792108,77.41363525,Google Street View
609_2,Trainning,2015,135.5298452,34.69792108,77.41363525,Google Street View
616_1,Trainning,2015,135.5307636,34.69809771,76.07675171,Google Street View
617_2,Trainning,2015,135.5308948,34.69812294,76.09835052,Google Street View
1625_2,Trainning,2015,135.6625588,34.81092852,62.77376556,Google Street View
2793_2,Trainning,2015,135.7350624,34.87806379,32.67989349,Google Street View
2795_2,Trainning,2015,135.7349103,34.87788128,32.32424927,Google Street View
3858_1,Trainning,2015,135.7451787,34.94594668,181.8709106,Google Street View
3866_1,Trainning,2015,135.7451366,34.94506374,181.5939026,Google Street View
55334_2,Trainning,2015,139.6904937,35.54253532,19.56364059,Google Street View
55335_1,Trainning,2015,139.6905419,35.54263771,19.3164196,Google Street View
55336_1,Trainning,2015,139.6905901,35.54274011,19.14492416,Google Street View
55336_2,Trainning,2015,139.6905901,35.54274011,19.14492416,Google Street View
55337_2,Trainning,2015,139.6906383,35.5428425,19.26007271,Google Street View
55338_1,Trainning,2015,139.6906865,35.54294489,19.90538025,Google Street View
55338_2,Trainning,2015,139.6906865,35.54294489,19.90538025,Google Street View
55339_1,Trainning,2015,139.6907347,35.54304728,19.91764069,Google Street View
55339_2,Trainning,2015,139.6907347,35.54304728,19.91764069,Google Street View
55341_1,Trainning,2015,139.690831,35.54325206,20.21684074,Google Street View
55341_2,Trainning,2015,139.690831,35.54325206,20.21684074,Google Street View
55342_2,Trainning,2015,139.6908792,35.54335445,20.17187691,Google Street View
55343_1,Trainning,2015,139.6909274,35.54345684,20.11049461,Google Street View
55344_1,Trainning,2015,139.6909756,35.54355923,20.09335899,Google Street View
55344_2,Trainning,2015,139.6909756,35.54355923,20.09335899,Google Street View
55347_1,Trainning,2015,139.6911201,35.54386641,19.54190254,Google Street View
55348_1,Trainning,2015,139.6911683,35.5439688,19.41755104,Google Street View
55349_2,Trainning,2015,139.6912165,35.54407119,200.271347,Google Street View
55351_2,Trainning,2015,139.6912575,35.54418915,26.98348618,Google Street View
55352_2,Trainning,2015,139.6912928,35.54429496,15.95083809,Google Street View
55353_2,Trainning,2015,139.691328,35.54440078,16.31795311,Google Street View
55356_2,Trainning,2015,139.6914339,35.54471823,20.4088726,Google Street View
55357_2,Trainning,2015,139.6914691,35.54482404,19.28286171,Google Street View
55358_1,Trainning,2015,139.6915044,35.54492986,19.17486191,Google Street View
55358_2,Trainning,2015,139.6915044,35.54492986,19.17486191,Google Street View
