dataset,image_name,output_filename,house_id,confidence,model,method,height_m,floors,distance_m,is_top_clipped
august_test,Screenshot 2026-08-29 002959.png,aug_Screenshot 2026-08-29 002959.png,1,0.72,M1,ref:person,12.17,4,22.39,True
august_test,Screenshot 2026-08-29 002959.png,aug_Screenshot 2026-08-29 002959.png,2,1.00,M2,ref:person,9.50,3,29.86,False
august_test,Screenshot 2026-08-29 002959.png,aug_Screenshot 2026-08-29 002959.png,3,1.00,M2,ref:person,8.04,3,32.23,False
august_test,Screenshot 2026-08-29 002959.png,aug_Screenshot 2026-08-29 002959.png,4,0.97,M2,ref:person,7.92,3,36.25,False
august_test,Screenshot 2026-08-29 003021.png,aug_Screenshot 2026-08-29 003021.png,1,0.78,M2,ref:car(SUV),9.08,3,2.68,False
august_test,Screenshot 2026-08-29 003021.png,aug_Screenshot 2026-08-29 003021.png,2,0.97,M1,ref:car(SUV),8.10,3,3.04,False
august_test,Screenshot 2026-08-29 003021.png,aug_Screenshot 2026-08-29 003021.png,3,0.99,M2,ref:car(SUV),8.08,3,3.29,False
august_test,Screenshot 2026-08-29 003033.png,aug_Screenshot 2026-08-29 003033.png,1,0.99,M2,fallback,8.14,3,7.72,False
august_test,Screenshot 2026-08-29 003033.png,aug_Screenshot 2026-08-29 003033.png,2,0.99,M2,fallback,7.11,2,6.63,False
august_test,Screenshot 2026-08-29 003033.png,aug_Screenshot 2026-08-29 003033.png,3,0.95,M2,fallback,5.74,2,8.77,False
august_test,Screenshot 2026-08-29 003048.png,aug_Screenshot 2026-08-29 003048.png,1,1.00,M1,ref:car(sedan),9.40,3,2.93,False
august_test,Screenshot 2026-08-29 003048.png,aug_Screenshot 2026-08-29 003048.png,2,1.00,M1,ref:car(sedan),8.62,3,2.93,False
august_test,Screenshot 2026-08-29 003048.png,aug_Screenshot 2026-08-29 003048.png,3,0.99,M1,ref:car(SUV),7.49,2,6.96,True
august_test,Screenshot 2026-08-29 003805.png,aug_Screenshot 2026-08-29 003805.png,1,0.92,M1,ref:car(SUV),5.63,2,5.95,False
august_test,Screenshot 2026-08-29 003816.png,aug_Screenshot 2026-08-29 003816.png,1,0.93,M2,ref:car(sedan),6.85,2,11.09,False
august_test,Screenshot 2026-08-29 003839.png,aug_Screenshot 2026-08-29 003839.png,1,0.95,M2,fallback,2.25,1,10.60,False
august_test,Screenshot 2026-08-29 003926.png,aug_Screenshot 2026-08-29 003926.png,1,0.99,M1,ref:car(SUV),5.25,2,6.45,False
august_test,Screenshot 2026-08-29 003926.png,aug_Screenshot 2026-08-29 003926.png,2,0.59,M1,ref:car(SUV),4.90,2,5.92,False
august_test,Screenshot 2026-08-29 003926.png,aug_Screenshot 2026-08-29 003926.png,3,0.62,M2,fallback,4.32,1,9.99,False
august_test,Screenshot 2026-08-29 003953.png,aug_Screenshot 2026-08-29 003953.png,1,0.89,M2,fallback,3.46,1,10.39,False
august_test,Screenshot 2026-08-29 004009.png,aug_Screenshot 2026-08-29 004009.png,1,0.40,M2,fallback,5.68,2,9.40,False
august_test,Screenshot 2026-08-29 004118.png,aug_Screenshot 2026-08-29 004118.png,1,0.84,M1,fallback,3.20,1,7.58,False
august_test,Screenshot 2026-08-29 004226.png,aug_Screenshot 2026-08-29 004226.png,1,0.55,M2,ref:motorcycle,3.35,1,2.75,False
august_test,Screenshot 2026-08-29 004258.png,aug_Screenshot 2026-08-29 004258.png,1,0.42,M2,fallback,3.99,1,6.39,False
august_test,Screenshot 2026-08-29 004258.png,aug_Screenshot 2026-08-29 004258.png,2,0.42,M2,fallback,3.40,1,7.06,False
august_test,Screenshot 2026-08-29 004258.png,aug_Screenshot 2026-08-29 004258.png,3,0.99,M2,fallback,3.72,1,9.03,False
august_test,Screenshot 2026-08-29 004258.png,aug_Screenshot 2026-08-29 004258.png,4,0.57,M2,fallback,4.36,1,6.76,False
august_test,Screenshot 2026-08-29 004310.png,aug_Screenshot 2026-08-29 004310.png,1,0.56,M2,fallback,7.06,2,7.14,True
august_test,Screenshot 2026-08-29 004327.png,aug_Screenshot 2026-08-29 004327.png,1,0.99,M2,fallback,2.80,1,9.11,False
august_test,Screenshot 2026-08-29 004418.png,aug_Screenshot 2026-08-29 004418.png,1,0.86,M1,fallback,5.55,2,7.78,False
august_test,Screenshot 2026-08-29 004418.png,aug_Screenshot 2026-08-29 004418.png,2,0.98,M2,ref:car(SUV),5.33,2,23.36,False
august_test,Screenshot 2026-08-29 004418.png,aug_Screenshot 2026-08-29 004418.png,3,0.45,M2,fallback,4.97,2,7.36,False
